original_text,perturbed_text,original_output,perturbed_output,ground_truth_output
"if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more [[incredible]] still are the clear-eyed [[boldness]] and quiet irony with which actor and director take on life 's urgent [[questions]] .","if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more [[unthinkable]] still are the clear-eyed [[bold]] and quiet irony with which actor and director take on life 's urgent [[lawsuit]] .",1,0,1
a film so [[tedious]] that it is impossible to care whether that boast is true or not .,a film so [[arduous]] that it is impossible to care whether that boast is true or not .,0,1,0
"and in this regard , on [[guard]] [[delivers]] .","and in this regard , on [[detentions]] [[submits]] .",1,0,1
something the true [[film]] [[buff]] [[will]] [[enjoy]] .,something the true [[moviemaking]] [[buffed]] [[hope]] [[have]] .,1,0,1
"a [[gentle]] , [[compassionate]] [[drama]] about grief and healing .","a [[moderate]] , [[pity]] [[oprah]] about grief and healing .",1,0,1
"it 's the cinematic [[equivalent]] of a [[good]] page-turner , and even if it 's [[nonsense]] , its claws dig surprisingly deep .","it 's the cinematic [[selfsame]] of a [[decent]] page-turner , and even if it 's [[hogwash]] , its claws dig surprisingly deep .",1,0,1
the result is something [[quite]] [[fresh]] and [[delightful]] .,the result is something [[too]] [[mild]] and [[extraordinary]] .,1,0,1
"the [[story]] itself is [[uninteresting]] , and the [[songs]] are [[painfully]] undistinguished : they [[might]] be giants ' [[so]] to [[be]] one of us may be the most tuneless [[tune]] ever [[composed]] .","the [[annals]] itself is [[trifling]] , and the [[lullabies]] are [[dutifully]] undistinguished : they [[may]] be giants ' [[whereby]] to [[become]] one of us may be the most tuneless [[melody]] ever [[encompassing]] .",0,1,0
"you have to pay attention to follow all the stories , but they 're each [[interesting]] .","you have to pay attention to follow all the stories , but they 're each [[outlandish]] .",1,0,1
"-lrb- wendigo is -rrb- why we go to the [[cinema]] : to be fed through the eye , the heart , the mind .","-lrb- wendigo is -rrb- why we go to the [[movies]] : to be fed through the eye , the heart , the mind .",1,0,1
it 's [[solid]] and [[affecting]] and [[exactly]] as thought-provoking as it [[should]] [[be]] .,it 's [[stabilize]] and [[plaguing]] and [[expressly]] as thought-provoking as it [[cannot]] [[represent]] .,1,0,1
"for a film about two mismatched buddies , crystal and de niro share little screen time and even [[less]] chemistry .","for a film about two mismatched buddies , crystal and de niro share little screen time and even [[infra]] chemistry .",0,1,0
"[[spousal]] abuse is a major problem in contemporary society , but the film [[reduces]] this domestic tragedy to florid [[melodrama]] .","[[divorcing]] abuse is a major problem in contemporary society , but the film [[declining]] this domestic tragedy to florid [[denouement]] .",0,1,0
i [[hate]] this movie,i [[hostility]] this movie,0,1,0
the [[film]] [[overcomes]] the regular minefield of coming-of-age cliches with potent doses of [[honesty]] and sensitivity .,the [[cine]] [[lapses]] the regular minefield of coming-of-age cliches with potent doses of [[naivety]] and sensitivity .,1,0,1
"[[city]] by the [[sea]] is the [[cinematic]] [[equivalent]] of defensive driving : it 's [[careful]] , conscientious and makes no [[major]] mistakes .","[[stadt]] by the [[seawater]] is the [[flick]] [[equivalency]] of defensive driving : it 's [[distrustful]] , conscientious and makes no [[great]] mistakes .",1,0,1
"like dickens with his [[passages]] , [[mcgrath]] [[crafts]] quite [[moving]] scenes throughout his resolutely [[dramatic]] variation on the [[novel]] .","like dickens with his [[aisles]] , [[sullivan]] [[handicrafts]] quite [[resettled]] scenes throughout his resolutely [[overwhelming]] variation on the [[newer]] .",1,0,1
it 's both a [[necessary]] political work and a [[fascinating]] [[documentary]] ...,it 's both a [[mandatory]] political work and a [[tempting]] [[dossier]] ...,1,0,1
"this film is so slick , [[superficial]] and trend-hoppy , that it 's easy to imagine that a new software program spit out the screenplay .","this film is so slick , [[discernible]] and trend-hoppy , that it 's easy to imagine that a new software program spit out the screenplay .",0,1,0
"this [[insightful]] , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict [[have]] their say away from [[watchful]] parental [[eyes]] , [[gives]] [[peace]] yet another [[chance]] .","this [[informational]] , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict [[had]] their say away from [[observant]] parental [[sight]] , [[submits]] [[soothing]] yet another [[prospective]] .",1,0,1
"so young , so smart , such talent , such a [[wise]] \*\*\* .","so young , so smart , such talent , such a [[unwise]] \*\*\* .",1,0,1
resourceful and [[ingenious]] entertainment .,resourceful and [[malignant]] entertainment .,1,0,1
` enigma ' is a good [[name]] for a movie this delibrately obtuse and unapproachable .,` enigma ' is a good [[rendezvous]] for a movie this delibrately obtuse and unapproachable .,0,1,0
"this [[romantic]] thriller is steeped in the atmosphere of wartime england , and ably [[captures]] the speech patterns , moral codes and ideals of the 1940s .","this [[mawkish]] thriller is steeped in the atmosphere of wartime england , and ably [[harvest]] the speech patterns , moral codes and ideals of the 1940s .",1,0,1
"reggio falls victim to relying on the [[very]] digital [[technology]] that he fervently scorns , creating a [[meandering]] , inarticulate and ultimately [[disappointing]] [[film]] .","reggio falls victim to relying on the [[absolutely]] digital [[technological]] that he fervently scorns , creating a [[musing]] , inarticulate and ultimately [[somber]] [[stills]] .",0,1,0
[[do]] we [[really]] need a 77-minute [[film]] to tell [[us]] exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't [[work]] ?,[[have]] we [[totally]] need a 77-minute [[filmmakers]] to tell [[ourselves]] exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't [[labour]] ?,0,1,0
"this self-infatuated [[goofball]] is [[far]] from the only [[thing]] [[wrong]] with the [[clumsy]] comedy stealing harvard , but he 's the most obvious one .","this self-infatuated [[jester]] is [[crucially]] from the only [[trick]] [[fallacious]] with the [[delicate]] comedy stealing harvard , but he 's the most obvious one .",0,1,0
the [[film]] often achieves a [[mesmerizing]] [[poetry]] .,the [[movies]] often achieves a [[hallucinatory]] [[rhyme]] .,1,0,1
"a [[triumph]] , relentless and beautiful in its [[downbeat]] darkness .","a [[sieg]] , relentless and beautiful in its [[disheartening]] darkness .",1,0,1
the [[movie]] 's [[biggest]] offense is its complete and utter lack of [[tension]] .,the [[imaging]] 's [[longer]] offense is its complete and utter lack of [[strain]] .,0,1,0
digital-video [[documentary]] about stand-up comedians is a [[great]] [[glimpse]] into a very [[different]] world .,digital-video [[textbooks]] about stand-up comedians is a [[gargantuan]] [[chronicle]] into a very [[disjointed]] world .,1,0,1
[[impresses]] you with its open-endedness and [[surprises]] .,[[embarrasses]] you with its open-endedness and [[stupor]] .,1,0,1
her delivery and timing are [[flawless]] .,her delivery and timing are [[irreproachable]] .,1,0,1
if [[high]] [[crimes]] were any more generic it would have a universal product [[code]] [[instead]] of a title .,if [[greater]] [[penal]] were any more generic it would have a universal product [[decoder]] [[somewhat]] of a title .,0,1,0
"the [[smug]] , oily demeanor that [[donovan]] [[adopts]] throughout the [[stupidly]] [[named]] [[pipe]] [[dream]] is just [[repulsive]] .","the [[disdainful]] , oily demeanor that [[dempsey]] [[confesses]] throughout the [[silly]] [[designate]] [[canal]] [[daydreams]] is just [[scandalous]] .",0,1,0
"when it 's on dry land , though , this surfer-girl [[melodrama]] starts gasping like a beached grouper .","when it 's on dry land , though , this surfer-girl [[silliness]] starts gasping like a beached grouper .",0,1,0
"almost [[every]] scene in this film is a [[gem]] that could [[stand]] alone , a perfectly [[realized]] [[observation]] of mood , behavior and intent .","almost [[any]] scene in this film is a [[gems]] that could [[station]] alone , a perfectly [[fact]] [[oversight]] of mood , behavior and intent .",1,0,1
"like a tone-deaf singer at a benefit concert , [[john]] q. is a [[bad]] movie [[appearing]] on behalf of a good cause .","like a tone-deaf singer at a benefit concert , [[jun]] q. is a [[wicked]] movie [[showing]] on behalf of a good cause .",0,1,0
undercover brother [[does]] n't go [[far]] enough .,undercover brother [[am]] n't go [[highly]] enough .,0,1,0
[[moot]] point .,[[eurovision]] point .,0,1,0
"a [[spunky]] , [[original]] [[take]] on a [[theme]] that [[will]] [[resonate]] with [[singles]] of many ages .","a [[snotty]] , [[incipient]] [[bring]] on a [[topics]] that [[wants]] [[reverberations]] with [[sole]] of many ages .",1,0,1
"as green-guts monster movies go , it 's a [[beaut]] .","as green-guts monster movies go , it 's a [[cosmetology]] .",1,0,1
let 's cut to the consumer-advice bottom line : [[stay]] home .,let 's cut to the consumer-advice bottom line : [[maintained]] home .,0,1,0
"the movie is full of [[fine]] performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife .","the movie is full of [[okay]] performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife .",1,0,1
"elling , [[portrayed]] with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose [[frailties]] are only slightly magnified versions of the [[ones]] that vex nearly everyone .","elling , [[reported]] with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose [[palaces]] are only slightly magnified versions of the [[people]] that vex nearly everyone .",1,0,1
münch 's [[genuine]] [[insight]] makes the film 's occasional overindulgence forgivable .,münch 's [[earnest]] [[ideals]] makes the film 's occasional overindulgence forgivable .,1,0,1
all but the most persnickety preteens should [[enjoy]] this nonthreatening but [[thrilling]] [[adventure]] .,all but the most persnickety preteens should [[have]] this nonthreatening but [[sexier]] [[pranks]] .,1,0,1
"the problem , it is with most of these [[things]] , is the [[script]] .","the problem , it is with most of these [[ingredients]] , is the [[dash]] .",0,1,0
